geography,geography code,UnpaidCare_person_per,LimitedAlot_person_per,NoCentralHeating_per_hh,HouseholdSize_hh,AverageRooms_hh,SocialRent_hh_per,PrivateRent_hh_per,Ethnicity_per,Deprivation_hh_per
New Forest,E07000091,11.75720552,8.26863574,2.233240932,2.3,5.8,10.98400552,12.09411887,2.437918645,3.081768373
Rushmoor,E07000092,8.261643587,5.596597269,1.661897425,2.5,5.2,16.30805635,17.55172793,15.2302067,4.292317852
Test Valley,E07000093,10.40825444,6.405608344,1.488682652,2.4,6,14.39129887,12.86692143,4.083403495,2.771595347
Winchester,E07000094,9.9249539,5.88532956,1.670756428,2.4,6.1,15.45503041,14.09153953,4.303786612,2.513602902
Ashford,E07000105,10.01983791,7.134863848,1.828949296,2.4,5.8,14.47046268,14.3323498,6.304045576,3.777177894
Canterbury,E07000106,10.30996725,8.221906117,2.186898356,2.3,5.5,12.19167037,19.54221586,6.963511859,4.40999819
Dartford,E07000107,9.468494839,6.800184871,2.519897208,2.4,5.1,14.83745416,15.93024126,12.62774097,4.441006961
Dover,E07000108,11.33119616,9.71846625,2.423928793,2.3,5.4,14.20823846,17.08548955,3.32037896,5.410888015
Gravesham,E07000109,10.13566654,7.66417617,2.480769706,2.5,5.3,17.3332344,16.13613317,17.19819111,5.84947194
Maidstone,E07000110,10.03010126,6.871080229,2.211294466,2.4,5.6,12.71297303,14.58855423,5.895850925,3.921383202
Sevenoaks,E07000111,10.39662991,6.283237447,1.811994896,2.4,6,13.22415993,10.75499787,4.233504217,3.075287112
Folkestone and Hythe,E07000112,11.39771601,9.959340181,3.322146943,2.2,5.4,11.20960763,22.20393001,5.329307486,6.20739146
Swale,E07000113,10.49655832,8.644311113,2.874876316,2.4,5.5,14.28802735,15.19474678,3.445356499,6.194117118
Thanet,E07000114,11.55262099,11.45350484,2.960697663,2.2,5.2,12.66445987,23.77799808,4.465443489,7.314368289
Tonbridge and Malling,E07000115,10.00041389,6.273746948,2.039883673,2.5,5.8,16.12380557,10.1142501,4.083440255,3.442044038
Tunbridge Wells,E07000116,9.16044468,6.060026597,2.545893925,2.4,5.7,15.15241447,16.94789503,5.050022164,3.739347946
Cherwell,E07000177,9.412975442,6.1310514,2.131222677,2.4,5.7,12.11394726,16.22831759,7.829108749,3.44626992
Oxford,E07000178,7.718589127,5.357918713,2.5751693,2.4,5.1,21.35981941,28.23295711,22.34868932,4.948081264
South Oxfordshire,E07000179,9.873600632,5.616839345,1.959189709,2.4,6.1,11.39102469,13.3280349,3.920838392,2.317758391
Vale of White Horse,E07000180,10.28035838,5.819585413,1.681947902,2.4,6.1,13.32402291,13.62762362,5.094720138,2.570485964
West Oxfordshire,E07000181,9.885568673,5.924851354,1.40376032,2.4,5.9,12.45808376,14.85395805,3.159029958,2.347309267
Elmbridge,E07000207,8.887106017,5.117096466,1.377498961,2.4,6.1,9.859793659,15.12792411,9.74364852,2.405426855
Epsom and Ewell,E07000208,9.757396607,5.589731299,1.685468708,2.5,5.7,8.024442654,13.30244427,14.11413811,2.605425732
Guildford,E07000209,9.16731665,5.172652588,1.686028199,2.4,5.8,12.79899209,15.78937617,9.09442132,2.71802568
Mole Valley,E07000210,10.4374817,6.106002928,1.836552417,2.3,6,12.20553757,11.91805292,4.927672035,3.114882215
Reigate and Banstead,E07000211,9.507744767,6.107302209,1.441639752,2.4,5.8,11.917435,12.93506306,9.399644502,2.702848998
Runnymede,E07000212,9.193888958,5.88374115,2.005257688,2.4,5.5,12.86910803,15.2044996,11.02595951,3.11181757
Spelthorne,E07000213,10.29728655,6.421682462,2.012046973,2.4,5.2,12.42913545,12.66450699,12.70214858,3.573597894
Surrey Heath,E07000214,9.163725854,5.158803863,0.998628749,2.5,6.3,9.208251356,12.14153699,9.811478455,2.164192452
Tandridge,E07000215,10.28338032,6.433889973,1.685561754,2.4,6,10.82718493,10.99514126,6.166413649,2.750284926
Waverley,E07000216,9.874806699,5.744743855,1.195211039,2.4,6.2,12.31331169,11.31696429,3.993518244,2.319399351
Woking,E07000217,9.276396702,5.530353435,2.265183571,2.5,5.7,11.91881825,15.67385411,16.40355652,3.339498822
Adur,E07000223,11.35791573,9.139943121,3.212523649,2.2,5.1,13.06896168,11.42189413,4.11722402,4.822495085
Arun,E07000224,11.07157667,9.352720074,2.621953048,2.2,5.4,8.823793962,15.30746859,2.942789497,4.314454472
Chichester,E07000225,10.97333779,7.318487794,2.607928101,2.2,5.9,14.85917188,14.89126946,3.051127476,3.009147809
Crawley,E07000226,9.289192004,6.567727047,1.661712734,2.5,5.2,23.85845016,14.54349709,20.0915598,4.877477941
Horsham,E07000227,10.38986756,5.983960518,2.031935619,2.3,5.9,11.55617865,11.79833585,3.990068621,2.738379185
Mid Sussex,E07000228,9.997139997,5.78006578,1.565956557,2.4,5.8,10.61157658,12.75409779,4.892034892,2.368966538
Worthing,E07000229,10.39659786,8.897171254,3.54136553,2.2,5.1,9.980018706,19.34784457,6.21559633,4.986820849
Bath and North East Somerset,E06000022,9.990569039,6.969252795,2.309732708,2.3,5.7,14.43786982,16.93123852,5.421666212,3.557097191
Bournemouth,E06000028,9.441879983,8.64238573,3.77060723,2.2,4.9,11.17585646,29.96697987,8.008022192,6.261684512
"Bristol, City of",E06000023,9.37291294,8.072689231,2.838350288,2.3,5,20.29198838,23.54511976,16.0290869,6.385330539
Cornwall,E06000052,11.87210323,9.988483353,7.215622274,2.3,5.6,12.00361128,16.75644236,1.770707889,5.323170811
Isles of Scilly,E06000053,9.986382206,4.90240581,26.28918099,2.1,5.3,18.09908999,29.72699697,1.180208806,3.741152679
North Somerset,E06000024,11.0151753,8.557704649,1.842973239,2.3,5.7,9.184263321,16.17418704,2.710227778,4.053180999
Plymouth,E06000026,10.62741825,9.964740389,4.881663571,2.3,5.1,19.29885552,20.15058505,3.851644408,6.921789089
Poole,E06000029,10.98039216,8.154695384,2.345348654,2.3,5.4,11.52841177,16.17346136,4.146432321,3.927278451
South Gloucestershire,E06000025,10.5184441,6.790045934,1.711952984,2.4,5.7,9.887667615,13.57659618,5.020797893,3.089140583
Swindon,E06000030,9.313622368,6.998603913,2.180851064,2.4,5.4,16.27659574,16.03553644,10.16370556,4.799683115
Torbay,E06000027,12.29926924,11.83576539,4.956786985,2.2,5.2,8.069818675,23.20962549,2.489328721,7.083545162
Wiltshire,E06000054,10.10826339,6.668634191,2.101506741,2.4,6,14.72290596,15.43199069,3.399287869,3.196803197
East Devon,E07000040,11.96161773,8.919120922,3.873305006,2.2,5.8,9.336222512,13.6124325,1.592969794,3.126745781
Exeter,E07000041,9.332359709,7.646913979,5.318630437,2.3,5.2,17.03017749,20.99021161,6.948112046,5.363307745
Mid Devon,E07000042,10.87073955,7.449517685,5.57421088,2.3,5.9,12.62287075,15.54124183,1.35562701,4.008181208
North Devon,E07000043,11.04230946,8.733065007,5.244868878,2.3,5.7,10.78973026,18.3520412,2.055152829,4.63238419
South Hams,E07000044,12.30334376,8.194611499,5.024689348,2.2,5.8,11.38151826,14.26827283,1.630983883,3.244885778
Teignbridge,E07000045,12.09064563,9.285139269,5.036757217,2.2,5.7,8.912467826,15.47691795,1.655933022,4.129400219
Torridge,E07000046,11.91904635,9.580350569,6.417494462,2.2,5.8,9.018795112,16.95847924,1.281348392,4.938183377
West Devon,E07000047,11.94517581,8.550408007,5.592959296,2.3,6,9.496149615,15.00110011,1.536795324,3.96479648
Christchurch,E07000048,12.53978891,9.693834813,1.923166473,2.2,5.3,12.96391153,10.80791618,2.431311778,3.860302678
East Dorset,E07000049,12.49913957,8.205034073,1.669151315,2.3,6,8.305824726,9.240230007,1.744946424,2.369289746
North Dorset,E07000050,10.60612688,7.138795328,2.47296826,2.3,5.9,13.48099058,14.27973491,2.341688173,3.121730031
Purbeck,E07000051,12.65648278,8.23160563,2.874942552,2.3,5.6,12.49042537,15.34494204,1.407511173,3.48771894
West Dorset,E07000052,12.04464861,8.709098968,3.656558374,2.2,5.8,13.87599694,13.7273014,1.994680851,3.273554724
Weymouth and Portland,E07000053,11.53497936,9.690487517,3.935517785,2.2,5.3,13.64639916,17.77816716,2.588733561,5.638689329
Cheltenham,E07000078,9.101199323,6.551342757,2.982583597,2.2,5.4,12.22682558,21.45143239,5.74430581,3.834750339
Cotswold,E07000079,10.55730505,6.535876739,2.213268573,2.2,6.1,14.86919086,15.2279501,2.179027763,2.411966001
Forest of Dean,E07000080,11.79585413,8.863971889,2.479000205,2.3,5.9,12.40085463,11.22428074,1.539756714,4.129715808
Gloucester,E07000081,9.963184538,7.630168957,3.272243512,2.4,5.4,13.33121538,17.38379366,10.86877917,5.214145305
Stroud,E07000082,11.39130512,7.158247546,2.39988283,2.3,5.9,12.7568314,12.11658367,2.08638133,3.042222873
Tewkesbury,E07000083,10.64398423,6.919444004,2.690314866,2.3,5.9,11.92848602,12.38683596,2.49197613,2.878209873
Mendip,E07000187,10.83282241,7.69315239,2.79697554,2.3,5.8,11.85735641,15.46027688,2.033327538,3.735078103
Sedgemoor,E07000188,11.3441198,8.794114567,3.905657671,2.3,5.8,12.19442225,14.57552099,1.626697385,4.827769923
South Somerset,E07000189,10.84140087,7.875690728,3.615775313,2.3,5.8,13.95231723,13.34081524,1.930626446,3.56109984
Taunton Deane,E07000190,10.59199361,8.272300725,3.086959302,2.3,5.7,15.60747863,15.4070821,2.787080146,3.662566355
West Somerset,E07000191,12.66906994,10.64167267,5.299878384,2.1,5.8,14.64507457,16.06605646,1.289113194,4.60218908
,,,,,,,,,1.764849249,
,,,,,,,,,3.529054597,
,,,,,,,,,2.32495574,
,,,,,,,,,2.645784881,
,,,,,,,,,1.537644421,
,,,,,,,,,3.112485539,
,,,,,,,,,1.616081097,
,,,,,,,,,3.265193225,
,,,,,,,,,1.893187628,
,,,,,,,,,1.879451727,
,,,,,,,,,5.993565473,
,,,,,,,,,1.949045862,
,,,,,,,,,2.218741468,
,,,,,,,,,3.560347011,
,,,,,,,,,15.30700107,
,,,,,,,,,2.631713664,
,,,,,,,,,2.399578246,
,,,,,,,,,1.655984699,
,,,,,,,,,1.524049618,
,,,,,,,,,2.024704914,
,,,,,,,,,1.967740876,
,,,,,,,,,10.09428007,
